title,platform,date,user_score,link,developers,genres
Super Mario 3D World + Bowser's Fury,Switch,12-Feb-21,,/game/switch/super-mario-3d-world-+-bowsers-fury,['Nintendo'],"['Action', 'Platformer', '3D']"
Super Smash Bros. Ultimate: Sephiroth,Switch,22-Dec-20,,/game/switch/super-smash-bros-ultimate-sephiroth,['Nintendo'],"['Action', '2D', 'Fighting']"
Fitness Boxing 2: Rhythm & Exercise,Switch,4-Dec-20,6.2,/game/switch/fitness-boxing-2-rhythm-exercise,"['Nintendo', ' Imagineer Co.', 'Ltd.']","['Miscellaneous', 'Exercise / Fitness']"
Fire Emblem: Shadow Dragon & the Blade of Light,Switch,4-Dec-20,7.6,/game/switch/fire-emblem-shadow-dragon-the-blade-of-light,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Hyrule Warriors: Age of Calamity,Switch,20-Nov-20,8.1,/game/switch/hyrule-warriors-age-of-calamity,"['Omega Force', ' Koei Tecmo Games']","['Action', ""Beat-'Em-Up"", '3D']"
Pokemon Sword + Pokemon Sword Expansion Pass,Switch,6-Nov-20,6.7,/game/switch/pokemon-sword-+-pokemon-sword-expansion-pass,['Game Freak'],"['Role-Playing', 'Trainer']"
Pokemon Shield + Pokemon Shield Expansion Pass,Switch,6-Nov-20,6.6,/game/switch/pokemon-shield-+-pokemon-shield-expansion-pass,['Game Freak'],"['Role-Playing', 'Trainer']"
Pikmin 3 Deluxe,Switch,30-Oct-20,8.4,/game/switch/pikmin-3-deluxe,"['Eighting', ' Nintendo']","['Strategy', 'Real-Time', 'General']"
Part Time UFO,Switch,28-Oct-20,7.3,/game/switch/part-time-ufo,['HAL Labs'],"['Action', 'Arcade']"
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - Complete Edition,Switch,23-Oct-20,,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---complete-edition,['Brace Yourself Games'],"['Action', 'Rhythm', 'Music']"
Pokemon Sword / Shield: The Crown Tundra,Switch,22-Oct-20,7.4,/game/switch/pokemon-sword-shield-the-crown-tundra,['Game Freak'],"['Role-Playing', 'Trainer']"
Mario Kart Live: Home Circuit,Switch,16-Oct-20,7.3,/game/switch/mario-kart-live-home-circuit,"['Nintendo', ' Velan Studios']","['Racing', 'Arcade', 'Automobile']"
Super Smash Bros. Ultimate: Steve & Alex,Switch,13-Oct-20,9.3,/game/switch/super-smash-bros-ultimate-steve-alex,['Nintendo'],"['Action', 'Fighting', '2D']"
Mario Kart 8 Deluxe + Super Mario Party,Switch,4-Oct-20,,/game/switch/mario-kart-8-deluxe-+-super-mario-party,['Nintendo'],"['Miscellaneous', 'Compilation']"
