,title,nsuid,price_us,description
9049, Apré Lapli [After the rain],70010000058303,10.99,"In Apré Lapli, Maya and her grandpa share the story of her parents, riding a cart dragged by a giant dragon, on the road in a scarce and dry world. He tells her about how they met, grew together and also why the water is so rare. In parallel, Maya dreams…"
4827,"""METAL SLUG 1st & 2nd MISSION"" Double Pack",70010000034008,14.99,"METAL SLUG 1ST MISSION released in 1999 for the NEOGEO POCKET COLOR, with its sequel METAL SLUG 2ND MISSION hitting shelves in 2000. Now both are available for Nintendo Switch™! - Experience the simple-yet-deep shooting mechanics the METAL SLUG series is…"
6076,#1 Anagrams,70010000040947,3.99,"Do you enjoy crosswords or word games? Uncover hidden words: connect the letters, interpret the clues, improve your vocabulary, try your memory, challenge yourself and test your English skills. Why waste time finding and downloading thousands of crosswor…"
7760,#1 Anagrams Sudokus Bundle,70010000050685,5.99,"Enjoy 2 great games in 1 with this bundle containing both #1 Anagrams and #1 Sudokus. #1 Anagrams More Crossword Anagrams than you can Shake a Stick at! Do you enjoy crosswords or word games? Uncover hidden words: connect the letters, interpret the clues…"
5760,#1 Crosswords,70010000038064,3.99,Are you a fan of crosswords? Do you enjoy spending time solving challenging word puzzles? #1 Crosswords is the game for you! In #1 Crosswords you'll find a story mode with 100 crossword puzzles to solve for all difficulty levels. On top of that you can a…
6457,#1 Crosswords Bundle,70010000042497,5.99,Enjoy 2 great crosswords games in 1 with this bundle containing both #1 Crosswords and #1 Anagrams. #1 Crosswords Are you a fan of crosswords? Do you enjoy spending time solving challenging word puzzles? #1 Crosswords is the game for you! In #1 Crossword…
7783,#1 Crosswords Sudokus Bundle,70010000050016,5.99,Enjoy 2 great games in 1 with this bundle containing both #1 Crosswords and #1 Sudokus. #1 Crosswords Are you a fan of crosswords? Do you enjoy spending time solving challenging word puzzles? #1 Crosswords is the game for you! In #1 Crosswords you'll fin…
7748,#1 Pastime Bundle,70010000050718,7.99,"Enjoy 3 great games in 1 with this bundle containing #1 Crosswords, #1 Anagrams, and #1 Sudokus. #1 Crosswords In #1 Crosswords you'll find a story mode with 100 crossword puzzles to solve for all difficulty levels. On top of that, you can always play th…"
7234,#1 Sudokus,70010000047833,3.99,"After dealing with lots of words in #1 Crosswords and #1 Anagrams in Eclipse Games we thought it was time to start with numbers, so we've decided to do some Sudoku puzzles! In #1 Sudokus you'll find a story mode with over 240 sudokus to solve on increasi…"
11920,#BLUD,70010000077506,24.99,
